Company,Website,Batch,Vertical,TeamSize,Hiring,OneLiner
Haladir,https://www.haladir.com/,Winter 2026,AI,4,yes,Operational Superintelligence for Global Logistics
Piris Labs,https://pirislabs.io/,Winter 2026,AI,8,yes,The Networking Layer of AI
RamAIn,https://ramain.ai,Winter 2026,AI,4,yes,Automate any UI task with natural language
Salus,https://www.usesalus.ai/,Winter 2026,AI/DevTools,2,yes,Guardrails to validate your agent's actions before they execute
Fenrock AI,https://fenrock.ai/,Winter 2026,AI,2,yes,AI agents for banks
Revion,https://revion.inc,Winter 2026,AI,10,yes,Intelligence for Automotive Operations
Sitefire,https://sitefire.ai,Winter 2026,AI,2,yes,Marketing suite for the agentic web
Superset,https://www.superset.sh/,Spring 2026,AI/DevTools,3,yes,Building self-improving software
Servo7,https://servo7.com,Winter 2026,AI,3,yes,Container unloading robots for warehouses
"PerfectBit, Inc.",https://perfectbit.ai,Spring 2026,AI/ML,3,yes,Robotics
Uno Wallet,https://myunowallet.com/,Spring 2026,AI,2,yes,The AI mobile wallet that replaces Apple Pay
screenpipe,https://screenpipe.com,Summer 2026,AI,2,yes,Turn your company's computer work into AI agents.
Bloomy,https://bloomylearning.com/,Summer 2026,AI,1,yes,AI-native learning for every school
Ooak Data,https://ooakdata.com/,Summer 2026,AI,5,yes,We turn company data into training data
Rational,https://rational.to,Summer 2026,AI,2,yes,First Zero-human Accounting Firm
Parasma,https://parasma.com,Summer 2026,ML,2,yes,Replacing GPUs with human brain cells
Reason Machines,https://reasonmachines.ai,Spring 2026,DevTools,2,yes,The coding agent that can access and reason across any machine. 
Simantic,https://simantic.dev,Fall 2026,DevTools,4,yes,Firmware simulation for AI agents
Willow,https://willowvoice.com/,Spring 2025,AI,7,yes,The voice interface replacing your keyboard
YouShift,https://www.you-shift.com/,Winter 2025,AI,10,yes,The OS for hospital workforce management
Onlook,https://onlook.com/,Winter 2025,AI/DevTools,4,yes,Cursor for Designers
Edexia,https://www.edexia.com/,Winter 2025,AI,4,yes,AI Teacher Assistant for Grading Essays
Leaping AI,https://www.leapingai.com,Winter 2025,AI,13,yes,AI voice and texting agents
Scout,https://scoutforschools.com/,Winter 2025,AI,8,yes,AI-powered student information system for K-12 schools
Promptless,https://promptless.ai/,Winter 2025,AI/DevTools,5,yes,An AI teammate that automatically updates your customer-facing docs
Toothy AI,https://www.toothy.ai/,Winter 2025,AI,15,yes,AI for insurance verification & billing at dental clinics
a0.dev,https://a0.dev,Winter 2025,AI/DevTools,3,yes,We make mobile apps using AI.
Adam,https://adam.new/,Winter 2025,AI,4,yes,AI Powered CAD
Osmosis,https://osmosis.ai/,Winter 2025,AI/ML,6,yes,Reinforcement Learning (RL) for AI Agents
HUD,https://www.hud.ai,Winter 2025,AI,15,yes,Platform for building RL environments and evals 
Trata,https://www.trytrata.com/,Winter 2025,AI,6,yes,AI-powered research desk for hedge funds
Artificial Societies,https://societies.io,Winter 2025,AI,12,yes,We build networks of AIs to simulate high-value audiences
AfterQuery,https://afterquery.com,Winter 2025,AI,30,yes,Applied research lab curating data solutions for foundation model…
Woz,https://www.wozcode.com/,Winter 2025,AI,8,yes,Claude Code plugin that reduces token consumption and cost by 50%
Spott,https://spott.io,Winter 2025,AI,50,yes,AI-native ATS/CRM for recruiting firms
Dex,https://joindex.com,Winter 2025,AI,2,yes,The AI Coworker in Chrome
Mentra,https://mentra.glass,Winter 2025,AI,12,yes,Building the open source smart glasses operating system.
Blaxel,https://blaxel.ai,Spring 2025,AI/DevTools,8,yes,The perpetual sandbox platform
Synthio Labs,https://synthiolabs.com/,Spring 2025,AI,29,yes,Agentic AI platform for Pharma GTM teams
Parsewise,https://parsewise.ai,Spring 2025,AI,6,yes,"Multi-document processing for your risk teams, AI agents, pipelines"
throxy,https://throxy.com/,Spring 2025,AI,55,yes,"Vertical AI agents running B2B outbound on autopilot, with human SDRs"
QualGent,https://www.qualgent.ai,Spring 2025,AI,10,yes,AI Mobile App Quality Assurance Tester
Besimple AI,https://besimple.ai,Spring 2025,AI,6,yes,Voice data for AI
Adentris,https://www.adentris.com,Spring 2025,AI,5,yes,Real-time AI Compliance & Revenue Integrity for Medical Providers
Pelica,https://www.pelica.com/,Spring 2025,AI,5,yes,AI agents for risk-bearing healthcare organizations
Code Four,https://codefour.us/,Spring 2025,AI,3,yes,Modernizing the police workflow.
Text.ai,https://www.text.ai/,Spring 2025,AI,4,yes,Alfi - your group chat with social skills to bring friends closer
Godela,http://godela.ai,Spring 2025,AI,10,yes,AI Physics Engine to replace simulations and prototypes
Autonomous Technologies Group,https://becomeautonomous.com/,Fall 2025,AI,8,yes,Superintelligent financial advisor
Adaptional,https://www.adaptional.com/,Summer 2025,AI,,yes,AI-powered insurance claims review
Dedalus Labs,https://www.dedaluslabs.ai/,Summer 2025,AI/DevTools,10,yes,Compute substrate for AI agents
truthsystems,https://www.truthsystems.ai,Summer 2025,AI,6,yes,Automatically blocking risky behavior with real-time governance agents
Lanesurf,https://www.lanesurf.com/,Summer 2025,AI,11,yes,Book any load in 10 minutes
EffiGov,https://effigov.com,Summer 2025,AI,3,yes,The AI OS for Cities
Proliferate,https://proliferate.com?utm_source=yc&utm_medium=referral&utm_campaign=profile,Summer 2025,AI/DevTools,,yes,Do your life's work with agents
DeepAware AI (Robotics Center of Silicon Valley),https://roboticscenter.ai/,Summer 2025,AI/ML,4,yes,"Robots, parts & RL envs & evals - delivered in 48 hrs / pickup in SF."
OneStop,https://www.askonestop.com,Summer 2025,AI,2,yes,The local internet for NYC.
Channel3,https://trychannel3.com,Summer 2025,AI,5,yes,Database of every product on the internet
Nozomio,https://www.nozomio.com/,Summer 2025,AI/DevTools,3,yes,product lab. focused on personal ai and context.
Relling,https://relling.co,Summer 2025,AI,,yes,deploying the first billion robots for manufacturing
Finto,https://www.gofinto.com/,Summer 2025,AI,10,yes,AI accounting for enterprise finance teams
Floot,https://floot.com,Summer 2025,AI,4,yes,The app platform inside Claude and ChatGPT.
Reacher,https://reacherapp.com/,Summer 2025,AI,10,yes,We automate creator marketing for the world's largest brands
Fleetline,https://fleetline.ai,Summer 2025,AI,11,yes,Optimizing fleet planning with data driven algorithms
NOSO LABS,https://noso.so,Summer 2025,AI,6,yes,Build AI agents for field technicians to diagnose and sell 10x better
Luminal,https://luminal.com,Summer 2025,AI/DevTools,7,yes,Making AI run fast on any hardware.
Structured AI,https://www.getstructured.ai/,Fall 2025,AI,11,yes,The AI drawing review platform for architects and engineers.
Bolna AI,https://bolna.ai,Fall 2025,AI,21,yes,Voice AI to enable India's next billion
Flick,https://flick.art,Fall 2025,AI,2,yes,We Handle AI. You Direct Films.
Unsiloed AI,https://www.unsiloed.ai/,Fall 2025,AI,2,yes,API for parsing multimodal unstructured data
Imagine AI,https://imagineai.me,Fall 2025,AI,5,yes,"We reverse engineer B2B growth, starting with LinkedIn."
Aside,https://aside.com,Fall 2025,AI,5,yes,The browser built to do real work for you
Sourcebot,https://www.sourcebot.dev/,Fall 2025,AI/DevTools,3,yes,Helping humans and AI agents understand massive codebases
Lemma,https://www.uselemma.ai/,Fall 2025,AI/DevTools,2,yes,Production Monitoring for AI agents
MadeThis,https://madethis.com,Fall 2025,AI,3,yes,The autonomous business platform
Layers,https://www.layers.bio/,Fall 2025,AI,2,yes,A 30 min appointment to measure everything in your body
DiligenceSquared,https://diligencesquared.com/,Fall 2025,AI,3,yes,AI-powered market due diligence for investment decisions
Clicks Health,https://www.goclicks.ai/,Fall 2025,AI,8,yes,AI agents for your healthcare back-office operations.
Nitrode,https://www.nitrode.com,Winter 2025,ML,5,yes,Frontier AI research to advance game development
Plexe,https://plexe.ai,Spring 2025,ML,2,yes,Open-source agents to build predictive ML models from a prompt
Photonium,https://www.photoniumoptics.com/,Spring 2025,ML,5,yes,AI-Powered Optical Consulting & Software
Theorem,https://theorem.dev,Spring 2025,ML,4,yes,Program verification so even your systems engineers can vibecode
OnDeck AI,https://www.ondeckai.com,Summer 2025,ML,7,yes,"Analyze any footage, without training a model"
Brickanta,https://www.brickanta.com,Fall 2025,ML,11,yes,Agentic AI for Society Builders
Hyperspell,https://hyperspell.com,Fall 2025,ML,8,yes,Your Company Brain
Allus AI,https://allus.ai,Fall 2025,ML,6,yes,Transforming manufacturing with our next-gen Vision Foundation Model
Thesis,https://thesislabs.ai,Fall 2025,ML,3,yes,Humanoid robots
Confident AI,https://confident-ai.com,Winter 2025,DevTools,7,yes,The LLM Eval and Observability Platform for AI Quality
Infinite,https://infinite.dev,Winter 2025,DevTools,4,yes,Global B2B Stablecoin Processor
cubic,https://cubic.dev/,Spring 2025,DevTools,6,yes,AI-powered code review platform
Attune,https://attunehq.com,Spring 2025,DevTools,3,yes,"Faster builds, zero effort."
TraceRoot.AI,https://traceroot.ai,Summer 2025,DevTools,3,yes,Open source self-improving layer for AI agents
AgentMail,https://agentmail.to,Summer 2025,DevTools,10,yes,Email Inboxes for AI Agents
Manufact,https://manufact.com,Summer 2025,DevTools,5,yes,Cloud infrastructure for MCP servers and Claude / ChatGPT plugins.
Interfere,https://interfere.com,Summer 2025,DevTools,8,yes,"Give engineering, product, and design teams insight into unseen issues"
Moss,https://moss.dev,Fall 2025,DevTools,5,yes,Real-time semantic search for Conversational AI
DryMerge,https://www.drymerge.com,Winter 2024,AI,4,yes,AI that updates your CRM for you
Scritch,https://www.scritchai.com,Winter 2024,AI,,yes,AI operating system for veterinary care
Legora,https://www.legora.com/,Winter 2024,AI,400,yes,The AI workspace for lawyers
ego,https://egoai.com,Winter 2024,AI,9,yes,AI applied research lab building synthetic sapience; human-like AI
Duckie,https://duckie.ai/,Winter 2024,AI,4,yes,Build AI Support Agents in Minutes
Tekton Dynamics,https://www.tekton-dynamics.com,Winter 2024,AI,3,yes,AI control layer for welding robots
Momentic,https://momentic.ai,Winter 2024,AI/DevTools,15,yes,The agentic quality platform for web and mobile
Pivot Robotics,https://pivotrobotics.com,Winter 2024,AI,7,yes,AI for Robot Arms in Factories
PointOne,https://pointone.com/,Winter 2024,AI,35,yes,AI Time Platform for Law Firms
Arini,https://www.arini.ai,Winter 2024,AI,17,yes,AI receptionist for dentists
Artisan,https://artisan.co/?utm_source=ycombinator,Winter 2024,AI,50,yes,"The GTM orchestration platform. Ava, Aaron and Aria replace your stack"
