#,Company,Email,Person,Title,City,Notes
,Netcreativemind,hr@netcreativemind.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on netcreativemind.com; MX OK
,Qasource,careers@qasource.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on qasource.com; MX OK
,Logesys,hr@logesys.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on logesys.com; MX OK
,Fireprosystems,careers@fireprosystems.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on fireprosystems.com; MX OK
,4G Identity Solutions,hr@4Gid.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on 4Gid.com; MX OK
,Businessleader,career@businessleader.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on businessleader.com; MX OK
,ARCHELONS,hr@archelons.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on archelons.com; MX OK
,ARG,careers@myarg.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on myarg.com; MX OK
,AAPNA Infotech,recruitment@aapnainfotech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on aapnainfotech.com; MX OK
,Affle,careers@affle.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on affle.com; MX OK
,Alkatalent.in,Hr@alktalent.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on alktalent.in; MX OK
,@IIMI Direct,jobs@iimdirect.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on iimdirect.com; MX OK
,@Marthr Solutions,hr@jobsmarthrsolutions.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on jobsmarthrsolutions.com; MX OK
,Amantya Technologies,career@amantyatech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on amantyatech.com; MX OK
,AirCosta,careers@lepl.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on lepl.in; MX OK
,@OOLIGA,careers@ooliga.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on ooliga.com; MX OK
,Altorise Ventures Pvt. Ltd.,careers@altorise.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on altorise.com; MX OK
,Apara,recruitment@aparajitha.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on aparajitha.com; MX OK
,AppsTek,hiring@appstekcorp.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on appstekcorp.com; MX OK
,Alphawizz Technologies Pvt. Ltd.,hr@alphawizz.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on alphawizz.com; MX OK
,Aktiv Software,career@aktivsoftware.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on aktivsoftware.com; MX OK
,Agasthya App Labs,hr@agasthyaapplabs.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on agasthyaapplabs.com; MX OK
,BML Munjal University,careers@bmu.edu.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on bmu.edu.in; MX OK
,Amzur Technologies,hiring@amzur.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on amzur.com; MX OK
,Beetel,jobs@beetel.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on beetel.in; MX OK
,Axelera AI,Careers@axelera.ai,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on axelera.ai; MX OK
,@LogicLadder,hr@logicladder.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on logicladder.com; MX OK
,Amity Software Systems,hr@amitysoftware.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on amitysoftware.com; MX OK
,Appinessworld,careers@appinessworld.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on appinessworld.com; MX OK
,Aress Software,jobs@aress.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on aress.com; MX OK
,Peopleplusindia,jobs@peopleplusindia.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on peopleplusindia.com; MX OK
,Appvin Technologies,hr@appvintech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on appvintech.com; MX OK
,Bhavna Corp.,careers@bhavnacorp.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on bhavnacorp.com; MX OK
,Arth Tech,hr@arthtechsupports.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on arthtechsupports.com; MX OK
,Birla Institute of Management Technology,hr@bimtech.ac.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on bimtech.ac.in; MX OK
,Covalensedigital,careers@covalensedigital.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on covalensedigital.com; MX OK
,Tminetwork,recruiter@tminetwork.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on tminetwork.com; MX OK
,Asprcm Solutions,hr@asprcmsolutions.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on asprcmsolutions.com; MX OK
,Benison Technologies,careers@benisontech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on benisontech.com; MX OK
,Bolt.Earth,hr@bolt.earth,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on bolt.earth; MX OK
,Arputer Technologies,careers@arputer.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on arputer.com; MX OK
,Brainhunter Systems Ltd,career@brainhunter.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on brainhunter.in; MX OK
,Blueshift,HR@getblueshift.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on getblueshift.com; MX OK
,BuyerForesight,careers@buyerforesight.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on buyerforesight.com; MX OK
,Business Integra Inc,apply@businessintegra.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on businessintegra.com; MX OK
,Baadalsoft LLC,jobs@baadalsoft.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on baadalsoft.com; MX OK
,Ampcus Inc,hr@ampcus.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on ampcus.com; MX OK
,CEIPAL Corp.,apply@ceipal.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on ceipal.com; MX OK
,Blackstraw.ai,careers@blackstraw.ai,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on blackstraw.ai; MX OK
,Cashify,jobs@cashify.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on cashify.in; MX OK
,Capsitech,hr@capsitech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on capsitech.com; MX OK
,Celcom Solutions Global,jobs@celcomsolutions.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on celcomsolutions.com; MX OK
,Claritus Management Consulting,hr@claritusconsulting.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on claritusconsulting.com; MX OK
,Briskminds Software Solutions Pvt. Ltd.,hr@briskminds.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on briskminds.com; MX OK
,Centocode,hr@centocode.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on centocode.com; MX OK
,COMETT GROUP,cv@comett.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on comett.in; MX OK
,Cadmaxx Solutions,careers@cadmaxx.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on cadmaxx.com; MX OK
,CodeByte Solutions,jobs@codebyte.solutions,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on codebyte.solutions; MX OK
,Analogue IT Solutions,hr@analogueitsolutions.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on analogueitsolutions.com; MX OK
,Codigo,joinus@codigo.co,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on codigo.co; MX OK
,Cognologix Technologies,talent@cognologix.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on cognologix.com; MX OK
,Centstone,hr@centstone.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on centstone.com; MX OK
,Codetru,hr@codetru.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on codetru.com; MX OK
,CoreFlex Solutions,careers@coreflexsolutions.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on coreflexsolutions.com; MX OK
,Softsolindia,hr@softsolindia.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on softsolindia.com; MX OK
,Aveosoft Pvt Ltd,career@aveosoft.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on aveosoft.com; MX OK
,ColedaB2B,careers@coledab2b.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on coledab2b.com; MX OK
,Codingmart Technologies,hr@codingmart.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on codingmart.com; MX OK
,DB Digital (Dainik Bhaskar Digital),work@dbdigital.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on dbdigital.in; MX OK
,Clonz Biotech P. Ltd,hr@clonzbio.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on clonzbio.com; MX OK
,Coherent Market Insights,careers@coherentmarketinsights.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on coherentmarketinsights.com; MX OK
,Collective Artistics,careers@collectiveartists.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on collectiveartists.com; MX OK
,Cybernetyx,joinus@cybernetyx.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on cybernetyx.com; MX OK
,DCGPAC,hr@dcgpac.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on dcgpac.com; MX OK
,Cyntexa Labs,careers@cyntexa.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on cyntexa.com; MX OK
,Complere Infosystem,hr@complereinfosystem.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on complereinfosystem.com; MX OK
,DIT Services,recruit@ditserv.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on ditserv.com; MX OK
,Digital Aptech,hr@digitalaptech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on digitalaptech.com; MX OK
,Datoms,careers@datoms.io,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on datoms.io; MX OK
,DigiMantra,careers@digimantra.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on digimantra.com; MX OK
,Digital Refresh Networks,careers@digitalf5.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on digitalf5.com; MX OK
,Data Template,hr@datatemplate.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on datatemplate.com; MX OK
,Covalense,careers@covalense.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on covalense.com; MX OK
,Doceree,careers@doceree.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on doceree.com; MX OK
,Dion Global Solutions,jobs@dionglobal.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on dionglobal.com; MX OK
,Data Center Company,hr@netforchoice.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on netforchoice.com; MX OK
,Dimagi,careers@dimagi.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on dimagi.com; MX OK
,Digitally Inspired Media,careers@digitallyinspiredmedia.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on digitallyinspiredmedia.com; MX OK
,EDB 2025,hr@enterprisedb.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on enterprisedb.com; MX OK
,EOX Vantage,hr@eoxvantage.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on eoxvantage.com; MX OK
,E2E Networks Private Limited,recruitment@e2enetworks.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on e2enetworks.com; MX OK
,Digital True Technologies - DTrue Tech,hr@dtruetech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on dtruetech.com; MX OK
,EasyEcom,careers@easyecom.io,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on easyecom.io; MX OK
,EVIA,hr@eviaglobal.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on eviaglobal.com; MX OK
,Equitysoft Technologies,hr@equitysoft.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on equitysoft.in; MX OK
,Enhancesys Innovations,career@enhancesys.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on enhancesys.com; MX OK
,Kalkitech,careers@kalkitech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on kalkitech.com; MX OK
,EGlogics Softech,careers@eglogics.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on eglogics.com; MX OK
,Eka Mobility,talent@ekamobility.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on ekamobility.com; MX OK
,Excelra,careers@excelra.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on excelra.com; MX OK
