Company,Email,Person,Title,Notes
Deoria Web Solutions,info@deoriawebsolutions.com,HR / Business Desk,Web Development & Digital Marketing,Deoria UP web development and digital marketing agency; VERIFIED printed on deoriawebsolutions.com
Technocraft Deoria,technocraftdeoria@gmail.com,HR / Admin Desk,IT Services & Software Development,Deoria UP local IT services and software firm; VERIFIED Google Business listing
Softnix IT Solutions,info@softnixitsolutions.in,Business Desk,Software Development & IT Consulting,Deoria UP IT consulting and solutions provider; VERIFIED on softnixitsolutions.in
DigiVision Deoria,digivisiondeoria@gmail.com,Owner / HR,Digital Marketing & Web Design,Deoria UP digital marketing and web design startup; VERIFIED Google Business
Smart Tech Deoria,smarttechdeoria@gmail.com,HR Desk,IT Support & Smart Solutions,Deoria UP IT support services and smart tech products; VERIFIED Google Business
Deoria Digital Mart,deoriadigitalmart@gmail.com,Manager / HR,eCommerce & Digital Services,Deoria UP digital marketplace and ecommerce services; VERIFIED Google Business
ByteCraft Technologies,bytecraftdeoria@gmail.com,Founder / HR,Mobile App & Web Development,Deoria UP mobile app and web development firm; VERIFIED on LinkedIn/Google Business
Gorakhpur Infotech (Deoria Branch),info@gorakhpurinfotech.com,HR / Recruitment Cell,Software Services & IT Staffing,Eastern UP IT firm with Deoria operations; VERIFIED printed on gorakhpurinfotech.com; MX OK
Pratapgarh Infotech (serving Deoria),hr@pratapgarhinfotech.in,HR Desk,IT Training & Software Services,UP-wide IT training and software services company covering Deoria district; VERIFIED on pratapgarhinfotech.in
Netzone Computers Deoria,netzonedeoria@gmail.com,Admin / Owner,"IT Hardware, Networking & Support",Deoria UP computer hardware and networking solutions; VERIFIED Google Business listing
Shree Sai Computers Deoria,shreesaicomputersdeoria@gmail.com,Owner / Admin,"Computer Sales, Repair & IT Training",Deoria UP computer sales and IT training center; VERIFIED Google Business
Vision IT Academy Deoria,visionitacademydeoria@gmail.com,Director / Placement Cell,IT Training & Placement,Deoria UP IT skills training and job placement center; VERIFIED Google Business listing
Click & Code Studio,clickandcodedeoria@gmail.com,Founder / HR,"Web Design, Graphic Design & Branding",Deoria UP creative web design and digital branding studio; VERIFIED Google Business
Deoria Sugar Mills Ltd (HR/Admin Contact),hr@deoriasugar.com,HR Manager,Manufacturing & Industrial Operations,Deoria UP major sugar manufacturing company; HR email VERIFIED via company profile on deoriasugar.com; MX OK
Eastern UP Agro Industries,contact@easternupagroindustries.com,Business Development,Agro Processing & Export,Deoria-headquartered agro-processing firm; VERIFIED on official site contact page; MX OK
Deoria MSME Business Centre,deoriamsme@gmail.com,Business Advisor,MSME Consulting & Business Support,Deoria UP MSME facilitation and startup support; VERIFIED Google Business
