#,Company,Email,Person,Title,City,Notes
,3edge,careers@3edge.in,Careers Team,Recruitment,Pune,Pune; software; MX OK; verify mailbox
,Mindtech India,hr@mindtechindia.com,Hiring Team,HR,Pune,Pune; IT; MX OK; verify mailbox
,Solace Infotech,hr@solaceinfotech.com,HR Team,Recruitment,Pune,Nashik/Pune; VERIFIED HR/careers email (published); MX OK
,Astral Ltd,pune@astralpipes.com,Pune Branch,Branch Office,Pune,Pune; VERIFIED published on astralpipes.com contact page; MX OK
,Sudarshan Chemical,careers@sudarshan.com,Careers Team,Recruitment,Pune,Gujarat plants/Pune HQ; VERIFIED printed on sudarshan.com/contact-us; MX OK
,Sudarshan Chemical,sudarshan-hr@sudarshan.com,HR Team,Recruitment,Pune,Gujarat plants/Pune HQ; VERIFIED printed on sudarshan.com/contact-us; MX OK
,Biz4Solutions,careers@biz4solutions.com,Careers Desk,Recruitment,Pune,Pune SME; VERIFIED printed on biz4solutions.com/contact-us (mailto); MX OK
,Biz4Solutions,info@biz4solutions.com,Corporate Office,General,Pune,Pune SME; VERIFIED printed on biz4solutions.com/contact-us (mailto); MX OK
,Tudip Technologies,info@tudip.com,Corporate Office,General,Pune,Pune SME; VERIFIED printed on tudip.com (mailto); MX OK
,Codewalla,hello@codewalla.com,Contact Desk,General,Pune,Pune SME; VERIFIED printed on codewalla.com/contact; MX OK
,InfoBeans,careers@infobeans.ai,Careers Desk,Recruitment,Pune,Indore product engineering (also Pune/Chennai); VERIFIED printed on infobeans.com/contact; MX OK
,e-Zest Solutions,info@e-zest.com,Corporate Office,General,Pune,Pune software/product dev; VERIFIED printed on e-zest.com; MX OK
,Deqode,hr@deqode.com,HR Desk,Recruitment,Pune,Pune/Indore software & blockchain dev; VERIFIED printed on deqode.com/contact; MX OK
,Velotio Technologies,careers@velotio.com,Careers Desk,Recruitment,Pune,Pune software/product dev; VERIFIED printed on velotio.com/contact-us; MX OK
,Velotio Technologies,contact@velotio.com,Contact Desk,General,Pune,Pune software/product dev; VERIFIED printed on velotio.com; MX OK
,Talentica Software,careers@talentica.com,Careers Desk,Recruitment,Pune,Pune product engineering; VERIFIED printed on talentica.com/contact-us; MX OK
,Talentica Software,info@talentica.com,Corporate Office,General,Pune,Pune product engineering; VERIFIED printed on talentica.com; MX OK
,Clarion Technologies,info@clariontech.com,Corporate Office,General,Pune,Pune software/product dev; VERIFIED printed on clariontech.com; MX OK
,Mindbowser,contact@mindbowser.com,Contact Desk,General,Pune,Pune software/product dev; VERIFIED printed on mindbowser.com/contact; MX OK
,Mindbowser,ta@mindbowser.com,Talent Desk,Recruitment,Pune,Pune software/product dev; VERIFIED printed on mindbowser.com/careers; MX OK
,Harbinger Group,info@harbingergroup.com,Corporate Office,General,Pune,Pune software/product dev; VERIFIED printed on harbingergroup.com; MX OK
,Opcito Technologies,careers@opcito.com,Careers Desk,Recruitment,Pune,Pune DevOps/cloud & software dev; VERIFIED printed on opcito.com/careers; MX OK
,Opcito Technologies,contact@opcito.com,Contact Desk,General,Pune,Pune DevOps/cloud & software dev; VERIFIED printed on opcito.com; MX OK
,Mindbowser,danbrody@mindbowser.com,Dan Brody,Business Contact,Pune,Pune software/product dev; VERIFIED rendered on mindbowser.com/contact (WebFetch-confirmed); MX OK
,Mindbowser,skumar@mindbowser.com,S Kumar,Business Contact,Pune,Pune software/product dev; VERIFIED rendered on mindbowser.com/contact (WebFetch-confirmed); MX OK
,Umbrella Design,nitesh.deshmukh@umbrelladesign.in,Nitesh Deshmukh,Founder/Careers Contact,Pune,Pune design studio; listed as the careers contact; VERIFIED rendered on umbrelladesign.in/contact (WebFetch-confirmed); 
,"Tata Technologies, Pune",kanchan.jagtap@tatatechnologies.com,Kanchan Jagtap,Head Global HR Shared Services,Pune,DataNiti-HR-5000
,eLuminous Technologies,hr@eluminoustechnologies.com,HR Desk,Recruitment,Pune,Pune Web/App Dev; verified on eluminoustechnologies.com site; MX OK; careers/HR inbox
