#,Company,Email,Person,Title,City,Notes
,Bytosoft,team@bytosoft.com,Team Desk,General,Varanasi,Varanasi web/app dev; VERIFIED printed on bytosoft.com/contact; MX OK
,Bytosoft,support@bytosoft.com,Support Desk,Support,Varanasi,Varanasi web/app dev; VERIFIED printed on bytosoft.com/contact; MX OK
,Bharti Web,jobs@bhartiweb.com,Careers Desk,Recruitment,Varanasi,Varanasi web/app dev; VERIFIED printed on bhartiweb.com/careers; MX OK
,"I-3 Foundation, IIT (BHU) Varanasi",i3f@iitbhu.ac.in,Incubation Desk,General,Varanasi,Varanasi (UP) IIT-BHU incubator - route to incubated startups/internships; VERIFIED printed on i3f-iitbhu.org/contact-us
,MCIIE IIT (BHU) Varanasi,mciie@iitbhu.ac.in,Incubation Desk,General,Varanasi,Varanasi (UP) IIT-BHU Malaviya Centre for Innovation Incubation & Entrepreneurship incubator; VERIFIED printed on iitbhu
,Software Technology Parks of India,varanasi.info@stpi.in,STPI Desk,General,Varanasi,Varanasi IT park & incubation centre; VERIFIED printed on varanasi.stpi.in; MX OK
,Thinkware Technologies,info@thinkware.in,Careers Desk,Recruitment,Varanasi,Varanasi web/app software services; VERIFIED printed on thinkware.in; MX OK
,Softcon Solutions,info@softconindia.com,Contact Desk,General,Varanasi,Varanasi IT solutions & software development; VERIFIED printed on softconindia.com; MX OK
,Varanasi Smart City,info@varanasismartcity.gov.in,Smart City IT Cell,IT Operations,Varanasi,Varanasi Smart City IT and incubation initiatives; VERIFIED printed on varanasismartcity.gov.in; MX OK
,TBI BHU,tbi.bhu@bhu.ac.in,Incubation Desk,Incubation,Varanasi,Varanasi (UP) BHU Technology Business Incubator; VERIFIED printed on bhu.ac.in; MX OK
