#,Company,Email,Person,Title,City,Notes
,VR Cyber Security,hr@vrcybersecurity.com,Hiring Team,HR,Hyderabad,Hyderabad; cybersecurity; public HR-list source — VERIFY deliverability
,IndustryARC,hr@industryarc.com,Hiring Team,HR,Hyderabad,Hyderabad; market research; public HR-list source — VERIFY
,Drutha Software Solutions,careers@drutha.com,Careers Team,Recruitment,Hyderabad,Hyderabad; software; public HR-list source — VERIFY
,Infotree Solutions,careers@infotreesolutions.com,Careers Team,Recruitment,Hyderabad,Hyderabad; software; public HR-list source — VERIFY
,Moxie IT,careers@moxieit.in,Careers Team,Recruitment,Hyderabad,Hyderabad; IT services; public HR-list source — VERIFY
,Astral Ltd,hyderabad@astralpipes.com,Hyderabad Branch,Branch Office,Hyderabad,Hyderabad; VERIFIED published on astralpipes.com contact page; MX OK
,Darwinbox,contact@darwinbox.com,Contact Desk,General,Hyderabad,Hyderabad HR-tech; VERIFIED printed on darwinbox.com/contact-us (mailto); MX OK
,ValueLabs,contactus@valuelabs.com,Contact Desk,General,Hyderabad,Hyderabad; VERIFIED printed on valuelabs.com/contact-us (mailto); MX OK
,Gramener,contact@gramener.com,Contact Desk,General,Hyderabad,Hyderabad data/AI; VERIFIED printed on gramener.com (mailto); MX OK
,Kellton Tech,career@kellton.com,Careers Desk,Recruitment,Hyderabad,Hyderabad; VERIFIED printed on kellton.com/contact-us; MX OK
,Kellton Tech,info@kellton.com,Corporate Office,General,Hyderabad,Hyderabad; VERIFIED printed on kellton.com/contact-us (mailto); MX OK
,Kellton Tech,ask@kellton.com,Enquiry Desk,General,Hyderabad,Hyderabad; VERIFIED printed on kellton.com/contact-us (mailto); MX OK
,Ray Business Technologies,sales@raybiztech.com,Sales Team,Sales,Hyderabad,Hyderabad SME; VERIFIED printed on raybiztech.com/contact-us (cf-decoded); MX OK
,Kellton Tech,compliance@kelltontech.com,Compliance Officer Desk,Compliance,Hyderabad,Hyderabad IT services; VERIFIED printed on kellton.com/investors; MX OK
,Entrans Technologies,hr@entrans.io,HR Desk,Recruitment,Hyderabad,Hyderabad AI/data engineering; VERIFIED printed on entrans.io/careers; MX OK
,Entrans Technologies,info@entrans.io,Corporate Office,General,Hyderabad,Hyderabad AI/data engineering; VERIFIED printed on entrans.io/contact-us; MX OK
,Pennant Technologies,hr@pennanttech.com,HR Desk,Recruitment,Hyderabad,Hyderabad lending fintech product; VERIFIED printed on pennanttech.com/contact-us; MX OK
,Pennant Technologies,jobs@pennanttech.com,Jobs Desk,Recruitment,Hyderabad,Hyderabad lending fintech product; VERIFIED printed on pennanttech.com/contact-us; MX OK
,Pennant Technologies,info@pennanttech.com,Corporate Office,General,Hyderabad,Hyderabad lending fintech product; VERIFIED printed on pennanttech.com/contact-us; MX OK
,Fission Labs,careers@fissionlabs.com,Careers Desk,Recruitment,Hyderabad,Hyderabad software/cloud dev; VERIFIED printed on fissionlabs.com/careers; MX OK
,Fission Labs,info@fissionlabs.com,Corporate Office,General,Hyderabad,Hyderabad software/cloud dev; VERIFIED printed on fissionlabs.com; MX OK
,Gramener,careers@gramener.com,Careers Desk,Recruitment,Hyderabad,Hyderabad data science/analytics; VERIFIED printed on gramener.com/careers; MX OK
,Gramener,hr@gramener.com,HR Desk,Recruitment,Hyderabad,Hyderabad data science/analytics; VERIFIED printed on gramener.com/careers; MX OK
,Kanerika,hr@kanerika.com,HR Desk,Recruitment,Hyderabad,Hyderabad data/AI & software dev; VERIFIED printed on kanerika.com/contact; MX OK
,Intellectyx,info@intellectyx.com,Corporate Office,General,Hyderabad,Hyderabad data/AI & software dev; VERIFIED printed on intellectyx.com; MX OK
,Intellectyx,recruitment@intellectyx.com,Careers Desk,Recruitment,Hyderabad,Hyderabad data/AI & software dev; VERIFIED printed on intellectyx.com/careers; MX OK
,Skcript,karthik@skcript.com,Karthik Kamalakannan,Chief Executive Officer,Hyderabad,Hyderabad software/AI dev; VERIFIED rendered on skcript.com/team (WebFetch-confirmed); MX OK
,QualMinds Technologies,hr@qualminds.com,HR Desk,Recruitment,Hyderabad,Hyderabad software/product dev; VERIFIED printed on qualminds.com/contact; MX OK
,QualMinds Technologies,info@qualminds.com,Corporate Office,General,Hyderabad,Hyderabad software/product dev; VERIFIED printed on qualminds.com; MX OK
,HRSoftware Hyderabad,hello@hrsoftwarehyderabad.com,Contact Desk,General,Hyderabad,Hyderabad HITEC City HR/payroll software; VERIFIED printed on hrsoftwarehyderabad.com; MX OK
,Vupadhi Techno Services,enquiry@vupadhi.com,Contact Desk,General,Hyderabad,Hyderabad supply-chain/SaaS (T-Hub); VERIFIED printed on vupadhi.com; MX OK
,iGLOBE SOLUTIONS,devendar.m@leeoteckindia.com,Mudavath Devendar,Process Associate,Hyderabad,Hyderabad
,iGLOBE SOLUTIONS,swarnalatha474@gmail.com,Swarna Latha,Senior Executive Human Resources,Hyderabad,Hyderabad
,Myntra,bheem.jantaka@myntra.com,Bheem Jantaka,General Manager,Hyderabad,Myntra leadership list; Hyderabad
,Lab for Spatial Informatics at International Institute of Information Technology Hyderabad (IIITH),kuldeep.kurte@iiit.ac.in,HR,HR,Hyderabad,DataNiti-HR-Profiles
,AIESEC Hyderabad,soum.chava@gmail.com,Soumya Chava,HR,Hyderabad,DataNiti-Verified-HR
