#,Company,Email,Person,Title,City,Notes
,J-Informatics,info@jinformatics.com,Contact Desk,IT & Software Services,Aurangabad,Aurangabad MH software development & IT consulting services
,Sublime Technologies,info@sublimetechnologies.in,HR Team,Web & Mobile App Development,Aurangabad,Aurangabad MH web development & IT solutions agency
,TechWave Solutions,contact@techwavesolutions.in,Support Desk,Software Development & IT Support,Aurangabad,Aurangabad MH IT services & software enterprise solutions
,Innovate IT Services,info@innovateitservices.in,HR / Recruitment,IT Services & Digital Solutions,Aurangabad,Aurangabad MH digital transformation & software services
,Vighnaharta E Web Digital,info@ewebdigital.com,Contact Desk,Digital Marketing & Web Solutions,Aurangabad,Aurangabad MH digital agency & web development firm
,Moksha Solutions,contact@mokshasolutions.com,Support Desk,Web & Software Solutions,Aurangabad,Aurangabad MH IT consultancy & customized software
,MK e-Tech,cs@mketech.in,Customer Support,e-Learning & IT Services,Aurangabad,Aurangabad MH e-tech & software solutions provider
,MK e-Tech,help@mketech.in,Help Desk,Tech Support,Aurangabad,Aurangabad MH technical support & IT services
,Digital Dynamics,support@digitaldynamics.in,Technical Support,Software Development & Support,Aurangabad,Aurangabad MH software products & IT services
,Vrudhee Solutions,info@vrudheesolutions.com,HR Team,Software Engineering & Web Services,Aurangabad,Aurangabad MH software development & web services
,"Government College of Engineering, Chhatrapati Sambhajinagar",office.gcoeaurangabad@dtemaharashtra.gov.in,Principal Office,Engineering Education & Research,Aurangabad,Premier autonomous engineering institute in Aurangabad MH
,P.E.S. College of Engineering,principal@pescoe.ac.in,Principal Office,Higher Engineering Education,Aurangabad,Prominent engineering college in Aurangabad MH
,P.E.S. College of Engineering,registrar@pescoe.ac.in,Registrar Office,Academic Administration,Aurangabad,Registrar office PES College of Engineering Aurangabad MH
,"Government Polytechnic, Chhatrapati Sambhajinagar",principal.gpaurangabad@dtemaharashtra.gov.in,Principal Office,Polytechnic Education & Training,Aurangabad,Government polytechnic college in Aurangabad MH
,Sant Eknath College of Engineering,santeknathengg@gmail.com,Admin Office,Technical & Engineering Education,Aurangabad,Engineering institute in Aurangabad MH
,Deogiri Institute of Engineering and Management Studies,admin@dietms.org,Admin Office,Engineering & Management Studies,Aurangabad,Leading engineering & management institute in Aurangabad MH
,"Government Engineering College Aurangabad, Bihar",principal@gecaurangabad.ac.in,Principal Office,Higher Technical Education,Aurangabad,Government engineering college in Aurangabad Bihar
,"Government Polytechnic Aurangabad, Bihar",tpogpa96@gmail.com,Training & Placement Cell,Placement & Technical Training,Aurangabad,Training & Placement cell Government Polytechnic Aurangabad Bihar
,"Government Polytechnic Aurangabad, Bihar",principalpolyaurangabad@gmail.com,Principal Office,Polytechnic Administration,Aurangabad,Principal office Government Polytechnic Aurangabad Bihar
,Info Era Software Services Pvt. Ltd.,info@infoera.in,HR Team,Software & Digital Training,Aurangabad,Software development & industrial training serving Aurangabad Bihar
,Sanity Softwares,contact@sanitysoftwares.com,Sales / Support,Software Development & Email Tech,Aurangabad,Software & web development provider serving Aurangabad Bihar
,Dream Tree Technologies,info@dreamtree.co.in,Support Desk,Web Development & IT Services,Aurangabad,"Web design, development & hosting serving Aurangabad Bihar"
,Reemzet Solutions LLP,contact@reemzetdeveloper.in,Admin / HR,Custom Software & Web Services,Aurangabad,Customized software development firm serving Aurangabad Bihar
,Siddharth Private ITI Aurangabad,harendraku5@gmail.com,Admin Office,Vocational Technical Training,Aurangabad,Private Industrial Training Institute in Aurangabad Bihar
,"Adhikari College, Silar Aurangabad",adhikaricollege2021@gmail.com,College Administration,Higher Education Institute,Aurangabad,Educational degree college in Aurangabad Bihar
,Sharma Computer & Technical Institute,info@sharmacomputer.com,Admin Team,Technical & Computer Training,Aurangabad,Computer education & IT skills training in Aurangabad Bihar
,ATMA Aurangabad Bihar,info@atmaaurangabad.com,Directorate Office,Agricultural Extension & Tech Services,Aurangabad,District technology & extension management agency Aurangabad Bihar
,ATMA Aurangabad Bihar,atmaaurangabad000@gmail.com,Project Office,Extension & Admin Tech,Aurangabad,District tech management agency office Aurangabad Bihar
