#,Company,Email,Person,Title,City,Notes
,EndureAir Systems,sales@endureair.tech,Sales Desk,Sales,Kanpur,Kanpur IIT-K incubated UAV/drone startup; VERIFIED printed on endureair.com/contact; MX OK
,Phool (Kanpur Flowercycling),hello@phool.co,Contact Desk,General,Kanpur,Kanpur IIT-K incubated flowercycling/Fleather; VERIFIED printed on phool.co/pages/contact-us; MX OK
,Phool (Kanpur Flowercycling),bulk@phool.co,Bulk Orders Desk,Sales,Kanpur,Kanpur IIT-K incubated flowercycling/Fleather; VERIFIED printed on phool.co/pages/contact-us; MX OK
,Aarna Biomedical,info@aarnabiomed.in,Corporate Office,General,Kanpur,Kanpur IIT-K incubated medtech; VERIFIED printed on aarnabiomed.in; MX OK
,Airth Research,hello@airth.in,Contact Desk,General,Kanpur,Kanpur IIT-K incubated air-purification deep-tech; VERIFIED printed on airth.in; MX OK
,Airth Research,support@airth.in,Support Desk,Support,Kanpur,Kanpur IIT-K incubated air-purification deep-tech; VERIFIED printed on airth.in; MX OK
,Simacriticals,info@simactricals.io,Corporate Office,General,Kanpur,Kanpur IIT-K incubated deep-tech; VERIFIED printed on simactricals.io and /careers; MX OK
,xTerra Robotics,careers@xterrarobotics.com,Careers Desk,Recruitment,Kanpur,Kanpur IIT-K incubated robotics; VERIFIED printed on xterrarobotics.com/careers; MX OK
,Webixy Technologies,hr@webixytech.com,HR Desk,Recruitment,Kanpur,Kanpur web/app dev; VERIFIED printed on webixytech.com; MX OK
,Webixy Technologies,support@webixytech.com,Support Desk,Support,Kanpur,Kanpur web/app dev; VERIFIED printed on webixytech.com; MX OK
,Novus Logic,info@novuslogic.co.in,Corporate Office,General,Kanpur,Kanpur IT services; VERIFIED printed on novuslogic.co.in; MX OK
,Traffic Tail,info@traffictail.com,Corporate Office,General,Kanpur,Kanpur digital marketing/IT; VERIFIED printed on traffictail.com/contact-us; MX OK
,FutureZen Group,contact@futurezengroup.com,Contact Desk,General,Kanpur,Kanpur IT services; VERIFIED printed on futurezengroup.com/contact-us; MX OK
,FutureZen Group,info@futurezengroup.com,Corporate Office,General,Kanpur,Kanpur IT services; VERIFIED printed on futurezengroup.com/contact-us; MX OK
,Lohia Corp,sales@lohiagroup.com,Sales Desk,Sales,Kanpur,Kanpur industrial machinery manufacturer; VERIFIED printed on lohiagroup.com; MX OK
