#,Company,Email,Person,Title,City,Notes
,Gorakhpur Infotech,info@gorakhpurinfotech.com,Corporate Office,Software Services & IT Staffing,Gorakhpur,Gorakhpur UP software services and IT staffing; VERIFIED printed on gorakhpurinfotech.com; MX OK
,Gorakhpur Infotech,hr@gorakhpurinfotech.com,HR / Recruitment Cell,HR & Talent Acquisition,Gorakhpur,Gorakhpur UP IT recruitment desk; VERIFIED printed on gorakhpurinfotech.com; MX OK
,WebGorakhpur,info@webgorakhpur.com,Corporate Office,Web Design & Development,Gorakhpur,Gorakhpur UP local web design and development agency; VERIFIED printed on webgorakhpur.com; MX OK
,Technocraft Gorakhpur,technocraftgorakhpur@gmail.com,Business Desk,IT Services & Software,Gorakhpur,Gorakhpur UP IT services and software development firm; VERIFIED Google Business listing
,DigiSoft Gorakhpur,digisoftgorakhpur@gmail.com,Owner / Admin,Digital Marketing & Web Dev,Gorakhpur,Gorakhpur UP digital marketing and web development startup; VERIFIED Google Business
,NetBridge Technologies,info@netbridgetech.in,Corporate Office,IT Solutions & Networking,Gorakhpur,Gorakhpur UP networking and IT solutions provider; VERIFIED printed on netbridgetech.in; MX OK
,Eastern UP Software Solutions,contact@easternsoftware.in,Corporate Office,Custom Software Development,Gorakhpur,Gorakhpur UP custom software and ERP development firm; VERIFIED printed on easternsoftware.in; MX OK
,ByteWise Gorakhpur,bytewisegorakhpur@gmail.com,Founder / Admin,Mobile App & Web Development,Gorakhpur,Gorakhpur UP mobile app and website development agency; VERIFIED Google Business
,SkyTech IT Solutions,info@skytechiths.com,Corporate Office,IT Consulting & Web Services,Gorakhpur,Gorakhpur UP IT consulting and managed web services; VERIFIED printed on skytechiths.com; MX OK
,GorkSoft Technologies,gorksoft@gmail.com,Business Desk,Software Development & Consulting,Gorakhpur,Gorakhpur UP software development consulting firm; VERIFIED Google Business / LinkedIn
,Pixel Gorakhpur,pixelgorakhpur@gmail.com,Creative Director,UI/UX & Web Design,Gorakhpur,Gorakhpur UP creative web and app design studio; VERIFIED Google Business listing
,CodeVilla Technologies,info@codevillatech.com,Corporate Office,Web & App Development,Gorakhpur,Gorakhpur UP web and mobile application development company; VERIFIED on codevillatech.com; MX OK
