#,Company,Email,Person,Title,City,Notes
,Eulogik,careers@eulogik.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on eulogik.com; MX OK
,Flipkart,careers@jainuniversity.ac.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on jainuniversity.ac.in; MX OK
,Edureka,career@edureka.co,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on edureka.co; MX OK
,Facile Services Pvt Ltd,hr@facileserv.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on facileserv.com; MX OK
,Finlytyx AI Labs,cv@finlytyx.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on finlytyx.com; MX OK
,GaneshaSpeaks.com,careers@ganeshaspeaks.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on ganeshaspeaks.com; MX OK
,FundsIndia,careers@fundsindia.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on fundsindia.com; MX OK
,Flexituff International Limited,careers@flexituff.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on flexituff.com; MX OK
,FreshToHome,careers@freshtohome.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on freshtohome.com; MX OK
,FloData Analytics,hr@flodataanalytics.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on flodataanalytics.com; MX OK
,Fullestop,hr@fullestop.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on fullestop.com; MX OK
,Gehna India,careers@gehnaindia.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on gehnaindia.com; MX OK
,FiftyFive Technologies,hiring@fiftyfivetech.io,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on fiftyfivetech.io; MX OK
,Ekcel Inc.,hr@ekcelinc.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on ekcelinc.com; MX OK
,Get My Parking,talent@getmyparking.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on getmyparking.com; MX OK
,Goodera,careers@goodera.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on goodera.com; MX OK
,Great Place IT Services,hr@greatplaceitservices.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on greatplaceitservices.com; MX OK
,GlobalBees,careers@globalbees.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on globalbees.com; MX OK
,GrowSolutions,hr@growsolutions.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on growsolutions.in; MX OK
,GirnarSoft (CarDekho),hr@girnarsoft.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on girnarsoft.com; MX OK
,Gateway Animedia Works,careers@gatewayanimedia.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on gatewayanimedia.com; MX OK
,Gleecus TechLabs,hr@gleecus.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on gleecus.com; MX OK
,Glorywebs,hr@glorywebs.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on glorywebs.com; MX OK
,GiGa-Ops Global Solutions,hr@gigaopsglobal.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on gigaopsglobal.com; MX OK
,Gemini Consulting & Services,careers@gemini-us.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on gemini-us.com; MX OK
,INFUSE Ventures,apply@infuseventures.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on infuseventures.in; MX OK
,Impiger Technologies,careers@impigertech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on impigertech.com; MX OK
,Hakuhodo India,careers@hakuhodoindia.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on hakuhodoindia.com; MX OK
,Hevo Data,careers@hevodata.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on hevodata.com; MX OK
