#,Company,Email,Person,Title,City,Notes
,Sadanand Technologies,info@sadanandtechnologies.com,Corporate Office,Software Development & IT Solutions,Lucknow,Lucknow software & system integration firm; VERIFIED printed on sadanandtechnologies.com; MX OK
,Sadanand Technologies,sadanandtechnologieslucknow@gmail.com,Lucknow Office Desk,Lucknow Branch Contact,Lucknow,Lucknow branch support & inquiries; VERIFIED printed on sadanandtechnologies.com
,SaHind Tech,sahindofficial@gmail.com,Corporate Office,Software Solutions,Lucknow,Lucknow IT solutions & software engineering agency; VERIFIED printed on sahind.com
,SoftgenTech,info@softgentechnologies.com,Corporate Office,Web & IT Solutions,Lucknow,Lucknow IT services and software training provider; VERIFIED printed on softgentechnologies.com; MX OK
,Splendor IT Solution,info@splendoritsolution.com,Corporate Office,IT & Software Services,Lucknow,Lucknow software development & IT consulting; VERIFIED printed on splendoritsolution.com; MX OK
,Omni-Net Technologies,info@otpl.co.in,Corporate Office,E-Governance & IT Services,Lucknow,Lucknow e-governance software development firm; VERIFIED printed on otpl.co.in; MX OK
,Xipe Tech,hr@xipetech.com,HR Department,HR / Talent Acquisition,Lucknow,Lucknow web design & mobile app development firm; VERIFIED printed on xipetech.com; MX OK
,Xipe Tech,info@xipetech.com,Corporate Office,General Inquiries,Lucknow,Lucknow custom software development agency; VERIFIED printed on xipetech.com; MX OK
,Websultanate Software Technologies,hr@websultanate.com,HR Manager,HR / Recruiting Desk,Lucknow,Lucknow custom web & application dev company; VERIFIED printed on websultanate.com; MX OK
,Websultanate Software Technologies,info@websultanate.com,Corporate Office,General Inquiries,Lucknow,Lucknow IT consulting & development firm; VERIFIED printed on websultanate.com; MX OK
