#,Company,Email,Person,Title,City,Notes
,Astral Ltd,chennai@astralpipes.com,Chennai Branch,Branch Office,Chennai,Chennai; VERIFIED published on astralpipes.com contact page; MX OK
,KANINI Software,transformations@kanini.com,Transformations Desk,Business,Chennai,Chennai; VERIFIED printed on kanini.com/contact-us (mailto); MX OK
,Sedin Technologies,sales@sedintechnologies.com,Sales Desk,Sales,Chennai,Chennai digital engineering; VERIFIED printed on sedintechnologies.com/contact-us; MX OK
,Aspire Systems,info-india@aspiresys.com,India Desk,General,Chennai,Chennai product engineering; VERIFIED printed on aspiresys.com/contact-us as the India address; MX OK
,Aspire Systems,info@aspiresys.com,Corporate Office,General,Chennai,Chennai product engineering; VERIFIED printed on aspiresys.com/contact-us; MX OK
,Sify Technologies,investor.relations@sifycorp.com,Investor Relations,Investor Relations,Chennai,Chennai IT/network services; VERIFIED printed on sifycorp.com/investors; MX OK
,Sify Technologies,marketing@sifycorp.com,Marketing Desk,Marketing,Chennai,Chennai IT/network services; VERIFIED printed on sifycorp.com/contact; MX OK
,Ramco Systems,contact@ramco.com,Contact Desk,General,Chennai,Chennai ERP/AI SaaS; VERIFIED printed on ramco.com/investors and /careers; MX OK
,Prodapt,info@prodapt.com,Corporate Office,General,Chennai,Chennai telecom domain engineering; VERIFIED printed on prodapt.com/contact-us; MX OK
,iLink Digital,contact@ilink-digital.com,Contact Desk,General,Chennai,Chennai digital/cloud services; VERIFIED printed on ilink-digital.com/contact-us; MX OK
,Kissflow,sales@kissflow.com,Sales Desk,Sales,Chennai,Chennai no-code SaaS; VERIFIED printed on kissflow.com/contact-us; MX OK
,Tarka Labs,hello@tarkalabs.com,Contact Desk,General,Chennai,Chennai software/product dev; VERIFIED printed on tarkalabs.com/contact; MX OK
,SuperOps,careers@superops.ai,Careers Desk,Recruitment,Chennai,Chennai SaaS (MSP platform); VERIFIED printed on superops.ai/careers; MX OK
,SuperOps,contact@superops.com,Contact Desk,General,Chennai,Chennai SaaS (MSP platform); VERIFIED printed on superops.ai/contact-us; MX OK
,Rocketlane,care@rocketlane.com,Care Desk,General,Chennai,Chennai SaaS (client onboarding); VERIFIED printed on rocketlane.com; MX OK
,@OMR,hr@omrglobal.com,HR,HR,Chennai,DataNiti-HR-Profiles
