#,Company,Email,Person,Title,City,Notes
,WeblineGlobal,info@weblineglobal.com,Info Team,General,Ahmedabad,Ahmedabad; VERIFIED general email (published); MX OK
,Aegis Softtech,hr@aegissofttech.com,HR Team,Recruitment,Ahmedabad,Ahmedabad; VERIFIED HR email (published); MX OK
,Krish TechnoLabs,career@krishtechnolabs.com,Careers Team,Recruitment,Ahmedabad,Ahmedabad; VERIFIED careers email (published); MX OK
,Krish TechnoLabs,biz@krishtechnolabs.com,Business Team,Business,Ahmedabad,Ahmedabad; VERIFIED business email (published); MX OK
,Metizsoft Solutions,hr@metizsoft.com,HR Team,Recruitment,Ahmedabad,"Ahmedabad; VERIFIED resumes/HR email (published, 'send your resume to'); MX OK"
,Ecosmob Technologies,careers@ecosmob.com,Careers Team,Recruitment,Ahmedabad,Ahmedabad; VERIFIED careers email (published on ecosmob.com/contact-us); MX OK
,Ecosmob Technologies,sales@ecosmob.com,Sales Team,Sales,Ahmedabad,Ahmedabad; VERIFIED sales email (published); MX OK
,Inextrix Technologies,contact@inextrix.com,Contact/HR Team,General/HR,Ahmedabad,Ahmedabad; VERIFIED contact/HR email (published on inextrix.com/contact-us); MX OK
,ManekTech,info@manektech.com,Info Team,General,Ahmedabad,Ahmedabad; VERIFIED general email (published); MX OK
,WebMob Technologies,career@webmobtech.com,Careers Team,Recruitment,Ahmedabad,Ahmedabad; VERIFIED careers email (published on webmobtech.com/contact-us); MX OK
,WebMob Technologies,sales@webmobtech.com,Sales Team,Sales,Ahmedabad,Ahmedabad; VERIFIED sales email (published); MX OK
,7Span,yo@7span.com,Contact Team,General,Ahmedabad,Ahmedabad; VERIFIED general email (published); MX OK
,Kanhasoft,hr@kanhasoft.com,HR Team,Recruitment,Ahmedabad,Ahmedabad; VERIFIED careers/HR email (published on kanhasoft.com/contact-us); MX OK
,Kanhasoft,sales@kanhasoft.com,Sales Team,Sales,Ahmedabad,Ahmedabad; VERIFIED sales email (published); MX OK
,Creole Studios,jobs@creolestudios.com,Jobs Team,Recruitment,Ahmedabad,Ahmedabad; VERIFIED careers/jobs email (published on creolestudios.com/contact-us); MX OK
,Creole Studios,sales@creolestudios.com,Sales Team,Sales,Ahmedabad,Ahmedabad; VERIFIED sales email (published); MX OK
,TOPS Infosolutions,contact@topsinfosolutions.com,Contact Team,General,Ahmedabad,Ahmedabad; VERIFIED contact email (published on topsinfosolutions.com/contact-us); MX OK
