#,Company,Email,Person,Title,City,Notes
,ESDS Software Solution,getintouch@esds.co.in,Sales / General Inquiry,Cloud Data Center & Managed IT,Nashik,Nashik MH leading cloud infrastructure & data center provider
,ESDS Software Solution,secretarial@esds.co.in,Secretarial Office,Corporate Governance & Secretarial,Nashik,Corporate secretarial office ESDS Software Solution Nashik MH
,Winjit Technologies,info@winjit.com,General Desk,"AI, IoT & Software Solutions",Nashik,"Nashik MH enterprise software, AI & IoT technology solutions"
,Winjit Technologies,compliance@winjit.com,Compliance Desk,Corporate Compliance,Nashik,Corporate compliance office Winjit Technologies Nashik MH
,Ukvalley Technologies,hr@ukvalley.com,HR Team,Web & Software Engineering,Nashik,"Nashik MH web development, software engineering & digital services"
,Ukvalley Technologies,sales@ukvalley.com,Sales Team,Client Solutions & Sales,Nashik,Sales & client acquisition team Ukvalley Technologies Nashik MH
,WOWinfotech,info@wowinfotech.com,General Inquiry,Mobile & Web App Development,Nashik,Nashik MH mobile app & web development agency
,WOWinfotech,careers@wowinfotech.com,Talent Acquisition,Recruitment & Careers,Nashik,Careers & hiring team WOWinfotech Nashik MH
,Softdienst Tech Private Limited,info@softdienst.com,General Inquiry,Software Development & IT Consulting,Nashik,Nashik MH software development & IT consulting firm
,Fortune Cloud Technologies,fortunecloud.nashik@fortunecloudindia.com,Nashik Branch Admin,Cloud Computing & IT Training,Nashik,"Nashik MH cloud computing, DevOps & IT training center"
,K. K. Wagh Institute of Engineering Education & Research,kkwieer@kkwagh.edu.in,Principal Office,Higher Engineering Education & Research,Nashik,Premier autonomous engineering college in Nashik MH
,K. K. Wagh Institute of Engineering Education & Research,enggadmission@kkwagh.edu.in,Admission Cell,Engineering Admissions,Nashik,Engineering admission cell K. K. Wagh Institute Nashik MH
,Sandip University / Sandip Foundation,info@sandipuniversity.edu.in,University Desk,Higher Education & Technology Programs,Nashik,Premier private university campus in Nashik MH
,Sandip University / Sandip Foundation,info@sandipfoundation.org,Foundation Admin,Educational Trust & Engineering Campus,Nashik,Sandip Foundation administrative office Nashik MH
,Sandip Polytechnic,principal@sandippolytechnic.org,Principal Office,Polytechnic & Diploma Engineering,Nashik,Diploma polytechnic institute in Nashik MH
,JIT Nashik (Jawahar Education Society Institute of Tech),info@jitnashik.edu.in,Admin Office,Engineering & Management Tech,Nashik,Engineering and management institute in Nashik MH
,KTHM College Nashik,contact@kthmcollege.com,Principal Office,Higher Education & Computer Science,Nashik,Leading degree college with Computer Science department Nashik MH
